,review,yuyong
0,진짜 너무 순한데 그럼에도 불구하고 각질제거도 되고 보습도 잘 되서 너무 좋아요! 지금 3번째 재구매입니다!,0.0044
1,"순한 독도토너,,첨엔 물 같은게 토너인가 했는데 진정되고 깔끔하니 조아요 계속 쓰는중이에오😊",0.0044
2,"순하고 좋고요, 피지오겔 수분크림이랑 같이 쓰는데 조합 좋아요. 근데 이니스프리 세럼이랑은 안맞는듯",0.0042
3,이거 계속 주변친구들이 좋다 좋다 해서 사봤는데 정말 좋아요!! 바르고 건조한 것도 하나도 없고 사용하고 트러블 난 건 없었어요! 전 정말 좋았습니당 순해서 딱입니당 ㅎㅎ,0.0041
4,"매번 쓰는 토너에요
 솜이랑 같이써서 닦토로 쓰고 있어요
 사계절에 쓰고 건성인 동생이랑 지성인 저랑 같이 쓸 정도로 두루 잘 맞아요",0.0028
5,타 제품 쓰다가 독도토너 유명하다 해서 사봤는데 저는 다른 점을 딱히 모르겠어요... 닦토하긴 좋아요 !,0.0045
6,피부가 예민하고 지성쪽에 가까워서 토너 고를때마다 고민했었는데 이번에 독도 토너 쓰고 피부가 진정되서 너무 좋아요 ㅠㅠ,0.0042
7,용량도 크고 미니사이즈도 주셔서 좋네요. 겨울이든 여름이든 부담스럽지 않게 팍팍 쓰기 좋을 것 같아요! 공병에 넣어서 미스트로 써도 괜찮구요,0.0042
8,"오래쓰던 토너를 이번에 바꿔봤는데, 이전꺼보다 자극없이 부드럽고 보습이나 각질정리에 더 탁월했습니다. 앞으로도 계속 쓰게 될것같아요",0.0031
9,"꾸준히 쓰고있어요
 순하게 자극 없고 피지 줄여주면서 피부결 정돈이 잘
 되는 것 같아 쓰고있어요 이거보다 엄청 좋은 대체품이 없다면 앞으로도 계속 쓸 예정이에요~",0.0035
10,"하고 좋다고 하길래 사서 쓰고 있는데 자극도 없고 좋은거 같아요
 근데 막 바르고나면 얼굴이 촉촉한건아니고 그래도 나름 괜찮아서 계속 사용해보고 있어요",0.0028
11,"이건 세일하면 무조건 사야해요 ㅎㅎ
 일년넘게 씁니다...물스킨에 아무것도 업는것같지만 은근 보습도 되요^^",0.0031
12,"이번에가 두통째 입니다!!
 제가 피부 진짜 예민해서 맞는거 찾는거 힘들고 귀찮았는데 드디어 찾아서 잘쓰고 있습니당ㅎㅎ",0.0026
13,수분충점토너로 추천 가ㅇ볍고 부담없이 수분감 가득해요 대용량이라 듬뿍 쓰구 인위적인 향도 없는거 같고 순하고 좋아요,0.0045
14,"친구가 추천해줘서 구매했어요.
 닦토용으로 쓰려고 했는데 역시 성분도 착하고, 수분감도 있어서 정착하게 되었어요.
 
 #수분유목민제품
 #착한성분으로된
 #독도토너완전짱",0.004
15,그냥 물같은 제형이고 각질이 많은 피부라서 꾸준히 한통 전부 사용하면서 기대해봤는데 효과는 별로 없었구요 저한테는 각질불려서 닦아내기에 좋았던 제품이었어요,0.0044
16,악건성인데 이제품으로 스킨팩쓰고 많이좋아진느낌이에요! 여러스킨 많이 써봤는데 이제품이 제일순해요,0.003
17,"자극없이 순하고 촉촉해요
 스킨은 이것저것 옮겨다니는 타입인데 이 제품은 오래 쓸 것 같네요",0.004
18,"맑고 깨끗한 느낌이고 바르면 보들보들해서 기분이 좋아요
 피부에 안맞으면 어떡하지 했는데 잘맞아서 좋아요",0.0042
19,유명템이라 궁금해서 샀는데 사용하자마자 좋은걸 알겟더라고요 닦토로 사용햇는데 자극없니 순하고 수분감도 잇고 왜 유명템인지 알겟어요 무향이고 순합니다,0.0059
20,남동생이 라운드랩 독도토너만 주구장창 쓰고 있어요. 떨어지기 무섭게 계속 사달라고 합니다.,0.0044
21,"사춘기인 딸 아이 피부에 잘 맞아요
 두번째 쓰는 중인데 트러블 없고 여드름도 안 나요
 지금 잘 사용하고 있어요",0.0044
22,닦는 토너용으로도 쓰고 미스트 처럼도 씁니다. 피부결 정돈 하는데 베이스용으로 굿이라 항상 대용량으로 할인할때 많이 사요~~,0.0047
23,"약간 점성이 있는 토너라서
 물토너 찾으시는분께는 맞지않아요
 다만 순하고 대용량 진정및수분 토너 찾으시는 분께는 츄천합니다",0.0039
24,순하고 닦토에 좋은거같아요 검색해보고 샀는데 저한테 잘맞는거 같아 계속 쓸 예정이에요 ㅎㅎ,0.0035
25,"쓰고있던 토너를 다써서 뭘살지 고민하다가
 독도토너가 인기가많길래 사봤어요
 일단 무색무취이구요 생각보다 촉촉하더라규요
 열심히 한번 써보려규요 !",0.0036
26,맑은 물 제형이고 순하고 좋음. 작은 용량 써보고 좋아서 대용량도 구입했는데 앞으로 정착할듯,0.0043
27,늘 사용하는 제품입니다. 향이 없어서 좋고요 각질이 잘 일어나는 편인데 아침 저녁 이걸로 정리가 어느 정도 되는 것 같아요. 변치 말고 이대로만 나오면 좋겠어요.,0.0037
28,이마에 좁쌀여드름이 너무 많아서 좋다는거 다써봤는데 그것보단 화장품 양을 줄이고 독도토너로 닦고 로션만 발라줬더니 오히려 더 좋은것 같아요,0.0031
29,"매번 사용하는 독도토너
 대용량에 부담없이 사용할 수 있는 가격대라 닦토에 사용하고 있어요
 순하고 만족해요",0.0041
30,닦토용으로 샀어요 순해서 샘플로 온것 사용해본 지인이 좋다고 해서 지인에게 나누어 줬어요,0.006
31,올리브영에서 처음 본 브랜드..후기가 좋아서 구매해봤어요. 용량이 커서 중고딩 아이들이 부담없이 사용하기 좋습니다.,0.0036
32,"일주일정도 사용해봤는데
 확실히 인기있는 제품은 이유가 있네요
 세안하고 피부결 정리와 피지 관리에도 어느정도 도움이 되는거 같아요 
 남은거 사용해보고 ㅈㅐ구매 각입니다",0.0051
33,"향이 상당히 독특함. 이상한게 아니라 여태까지 맡아보지 못한 향
 보습 굿굿 잘 흡수되는 느낌",0.0028
34,제형이 액체같아서 전 좋았습니다. 막 자극적이지도 않구요 피부에 빠르게 스며들고 번들거리는 느낌이 전혀 없어서 좋았어요.,0.0037
35,너무 물같아서 자꾸 바닥에 흐르긴 한데 찐득거리지 않아서 좋고 성분이 순하고 양이 많아서 좋아요,0.0047
36,닦토 하려고 구매했던건데 처음 사용했던 날 트러블이 많이 가라앉았어요 이후에도 무난해서 재구매 후 사용중입니다 좋아요!,0.004
37,순하고 좋아요 깔끔하고 자극이 없음 닦토하기에 적절하고 가끔 스킨팩으로도 써요 재구매 의향 있음!!,0.0042
38,용량도 넘 맘에 들고 이 토너를 쓰기 시작하니까 트러블이 정말 줄었어요!ㅠㅠ너무 좋아요 촉촉하면서 깔끔해요 순하고👍🏻👍🏻,0.0035
